quadratid,region,folder,mask_patches,mask_stitched,height,width,mask_height,mask_width,other_pixels,hard_coral_pixels,soft_coral_pixels,seaview_split,points_selection_method,point_labels_count,comparison_status,class_label_comparison,points_mismatch_count,hard_coral_mismatch_count,soft_coral_mismatch_count,points_mismatch_percent,hard_coral_mismatch_percent,soft_coral_mismatch_percent
17001740102,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2564562,465873,158448,test,random,50,SUCCESS,Mismatch,5,2,0,10,4,0
17001740902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2027235,550635,611013,test,random,50,SUCCESS,Mismatch,6,1,0,12,2,0
17001745802,ATL,SEAVIEW_ATL,13,1,1031,1031,1031,1031,1080486,2108397,0,train,random,100,SUCCESS,Mismatch,14,10,0,14,10,0
17002336001,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,5847195,16017,0,train,random,100,SUCCESS,Mismatch,1,1,0,1,1,0
17002409801,ATL,SEAVIEW_ATL,6,1,1398,1398,1398,1398,3999030,1864182,0,train,random,100,SUCCESS,Mismatch,4,3,0,4,3,0
17004348202,ATL,SEAVIEW_ATL,10,1,1031,1031,1031,1031,1890882,797730,500271,test,random,50,SUCCESS,Mismatch,5,5,0,10,10,0
17004348102,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2623731,565152,0,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17004349002,ATL,SEAVIEW_ATL,18,1,1031,1031,1031,1031,1808577,1339755,40551,test,random,50,SUCCESS,Mismatch,8,8,0,16,16,0
17004348402,ATL,SEAVIEW_ATL,19,1,1031,1031,1031,1031,2025633,1159632,3618,test,random,50,SUCCESS,Mismatch,2,2,0,4,4,0
17004349502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3185772,3111,0,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17004348902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2377332,433932,377619,test,random,50,SUCCESS,Mismatch,8,4,4,16,8,8
17004349602,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3134646,54237,0,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17004349702,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1719273,66615,1402995,test,random,50,SUCCESS,Mismatch,2,0,2,4,0,4
17004349202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2434842,754041,0,test,random,50,SUCCESS,Mismatch,4,1,0,8,2,0
17004349802,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2385066,32889,770928,test,random,50,SUCCESS,Mismatch,3,0,2,6,0,4
17004349902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2598306,552762,37815,test,random,50,SUCCESS,Mismatch,3,0,0,6,0,0
17004350002,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2388918,624192,175773,test,random,50,SUCCESS,Mismatch,8,3,0,16,6,0
17004350202,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2620341,222114,346428,test,random,50,SUCCESS,Mismatch,3,0,1,6,0,2
17004350402,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2575299,268683,344901,test,random,50,SUCCESS,Mismatch,8,0,7,16,0,14
17004350502,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2962566,162618,63699,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17004350702,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,2144838,346998,697047,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17004350602,ATL,SEAVIEW_ATL,16,1,1031,1031,1031,1031,2618148,184077,386658,test,random,50,SUCCESS,Mismatch,4,4,0,8,8,0
17004350902,ATL,SEAVIEW_ATL,14,1,1031,1031,1031,1031,2024478,404907,759498,test,random,50,SUCCESS,Mismatch,7,0,5,14,0,10
17004350802,ATL,SEAVIEW_ATL,11,1,1031,1031,1031,1031,2009340,423843,755700,test,random,50,SUCCESS,Mismatch,7,3,2,14,6,4
17004351002,ATL,SEAVIEW_ATL,14,1,1031,1031,1031,1031,1916676,1193940,78267,test,random,50,SUCCESS,Mismatch,4,4,0,8,8,0
17004415601,ATL,SEAVIEW_ATL,8,1,1031,1031,1031,1031,1444497,178047,1566339,train,random,100,SUCCESS,Mismatch,24,2,20,24,2,20
17004426901,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1251339,733611,1203933,train,random,100,SUCCESS,Mismatch,18,6,7,18,6,7
17005057001,ATL,SEAVIEW_ATL,15,1,1398,1398,1398,1398,3649143,1742505,471564,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17005029401,ATL,SEAVIEW_ATL,7,1,1398,1398,1398,1398,5245389,347403,270420,train,random,100,SUCCESS,Mismatch,1,0,0,1,0,0
17005057101,ATL,SEAVIEW_ATL,21,1,1398,1398,1398,1398,4868742,689205,305265,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17005057201,ATL,SEAVIEW_ATL,19,1,1398,1398,1398,1398,4230354,1240545,392313,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17005057301,ATL,SEAVIEW_ATL,14,1,1398,1398,1398,1398,4107600,1663422,92190,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17005057401,ATL,SEAVIEW_ATL,1,1,1398,1398,1398,1398,3945597,1917615,0,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17005057501,ATL,SEAVIEW_ATL,16,1,1398,1398,1398,1398,4918314,944898,0,test,random,50,SUCCESS,Mismatch,2,2,0,4,4,0
17005057601,ATL,SEAVIEW_ATL,16,1,1398,1398,1398,1398,5313123,526095,23994,test,random,50,SUCCESS,Mismatch,5,2,0,10,4,0
17005057701,ATL,SEAVIEW_ATL,1,1,1398,1398,1398,1398,5014284,848928,0,test,random,50,SUCCESS,Mismatch,4,3,0,8,6,0
17005057801,ATL,SEAVIEW_ATL,16,1,1398,1398,1398,1398,3540249,1428051,894912,test,random,50,SUCCESS,Mismatch,9,3,2,18,6,4
17005057901,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,4035024,651228,1176960,test,random,50,SUCCESS,Mismatch,7,0,1,14,0,2
17005058201,ATL,SEAVIEW_ATL,11,1,1398,1398,1398,1398,4219791,1466799,176622,test,random,50,SUCCESS,Mismatch,3,0,0,6,0,0
17005058301,ATL,SEAVIEW_ATL,15,1,1398,1398,1398,1398,2009358,1736985,2116869,test,random,50,SUCCESS,Mismatch,9,2,6,18,4,12
17005058401,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,3384294,2321550,157368,test,random,50,SUCCESS,Mismatch,8,5,0,16,10,0
17005058501,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,4148118,1630071,85023,test,random,50,SUCCESS,Mismatch,12,2,0,24,4,0
17005058801,ATL,SEAVIEW_ATL,6,1,1398,1398,1398,1398,2592801,3270411,0,test,random,50,SUCCESS,Mismatch,4,1,0,8,2,0
17005058701,ATL,SEAVIEW_ATL,15,1,1398,1398,1398,1398,4155195,1616970,91047,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17005059201,ATL,SEAVIEW_ATL,11,1,1398,1398,1398,1398,1663620,4005432,194160,test,random,50,SUCCESS,Mismatch,9,4,2,18,8,4
17005059001,ATL,SEAVIEW_ATL,11,1,1398,1398,1398,1398,4149138,1648473,65601,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17005059401,ATL,SEAVIEW_ATL,1,1,1398,1398,1398,1398,4378530,1484682,0,test,random,50,SUCCESS,Mismatch,5,3,0,10,6,0
17005059501,ATL,SEAVIEW_ATL,1,1,1398,1398,1398,1398,5392764,470448,0,test,random,50,SUCCESS,Mismatch,2,0,0,4,0,0
17005059601,ATL,SEAVIEW_ATL,3,1,1398,1398,1398,1398,4461336,771090,630786,test,random,50,SUCCESS,Mismatch,5,0,1,10,0,2
17006011002,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2718444,397764,72675,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17006011102,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,3061116,120027,7740,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17006011202,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,3137541,51342,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006011302,ATL,SEAVIEW_ATL,11,1,1031,1031,1031,1031,2791845,86535,310503,test,random,50,SUCCESS,Mismatch,2,0,2,4,0,4
17006011402,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,3180654,8229,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006011502,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2874879,19356,294648,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17006011602,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3174993,0,13890,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006011702,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2559000,248097,381786,test,random,50,SUCCESS,Mismatch,3,0,0,6,0,0
17006011802,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2998017,92136,98730,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006011902,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,3127206,53466,8211,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006012002,ATL,SEAVIEW_ATL,10,1,1031,1031,1031,1031,2194803,953343,40737,test,random,50,SUCCESS,Mismatch,3,0,0,6,0,0
17006012102,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2984853,88245,115785,test,random,50,SUCCESS,Mismatch,3,1,0,6,2,0
17006012302,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2002023,0,1186860,test,random,50,SUCCESS,Mismatch,6,0,6,12,0,12
17006012202,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,2672091,150750,366042,test,random,50,SUCCESS,Mismatch,3,0,3,6,0,6
17006012402,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,3113193,60855,14835,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17006012502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3067077,121806,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17006012602,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2540145,648738,0,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17006012702,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,1496175,1620783,71925,test,random,50,SUCCESS,Mismatch,2,0,2,4,0,4
17006012802,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2497095,230592,461196,test,random,50,SUCCESS,Mismatch,6,2,3,12,4,6
17006013102,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,1686399,1410243,92241,test,random,50,SUCCESS,Mismatch,9,9,0,18,18,0
17006012902,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,1629225,1317033,242625,test,random,50,SUCCESS,Mismatch,4,2,0,8,4,0
17006013402,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2572524,616359,0,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17006013502,ATL,SEAVIEW_ATL,8,1,1031,1031,1031,1031,2218032,786417,184434,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17006013302,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2862543,106974,219366,test,random,50,SUCCESS,Mismatch,3,0,2,6,0,4
17006013702,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,2544762,605226,38895,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17006013802,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2973198,188289,27396,test,random,50,SUCCESS,Mismatch,4,1,1,8,2,2
17006013902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1879824,1063296,245763,test,random,50,SUCCESS,Mismatch,9,3,4,18,6,8
17006014002,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2137953,719031,331899,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17006058202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2457417,731466,0,train,random,100,SUCCESS,Mismatch,5,2,0,5,2,0
17006078902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,3005037,183846,0,train,random,100,SUCCESS,Mismatch,3,3,0,3,3,0
17006100402,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,2699571,338457,150855,train,random,100,SUCCESS,Mismatch,7,5,1,7,5,1
17007661501,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,4590900,62925,1209387,train,random,100,SUCCESS,Mismatch,3,0,2,3,0,2
17017815902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2726265,413094,49524,train,random,100,SUCCESS,Mismatch,2,0,1,2,0,1
17017820202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,1755369,1433514,0,test,random,50,SUCCESS,Mismatch,9,8,0,18,16,0
17017820102,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2907282,281601,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17007739501,ATL,SEAVIEW_ATL,2,1,1398,1398,1398,1398,1076190,2252586,2534436,train,random,100,SUCCESS,Mismatch,22,6,12,22,6,12
17017820302,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2803809,377361,7713,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17017820502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2969265,219618,0,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17017821002,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3090336,98547,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17017821102,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2573091,567369,48423,test,random,50,SUCCESS,Mismatch,8,6,1,16,12,2
17017820602,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2377341,753573,57969,test,random,50,SUCCESS,Mismatch,3,0,1,6,0,2
17017821302,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2891157,291144,6582,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17017821902,ATL,SEAVIEW_ATL,12,1,1031,1031,1031,1031,2766240,382566,40077,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17017822002,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2563677,625206,0,test,random,50,SUCCESS,Mismatch,4,2,0,8,4,0
17017822102,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2955981,228990,3912,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17017822302,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2969559,214527,4797,test,random,50,SUCCESS,Mismatch,1,0,0,2,0,0
17017822502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2757816,431067,0,test,random,50,SUCCESS,Mismatch,2,2,0,4,4,0
17017822202,ATL,SEAVIEW_ATL,11,1,1031,1031,1031,1031,2948853,226704,13326,test,random,50,SUCCESS,Mismatch,5,1,0,10,2,0
17017822602,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2951106,237777,0,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17017822702,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2865249,323634,0,test,random,50,SUCCESS,Mismatch,7,1,0,14,2,0
17019870602,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2433339,755544,0,train,random,100,SUCCESS,Mismatch,4,2,0,4,2,0
17019871102,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,3054762,134121,0,train,random,100,SUCCESS,Mismatch,3,1,0,3,1,0
17019872802,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2790903,397980,0,train,random,100,SUCCESS,Mismatch,4,1,0,4,1,0
17019874202,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,2169963,1018920,0,train,random,100,SUCCESS,Mismatch,3,3,0,3,3,0
17019885502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2802771,386112,0,train,random,100,SUCCESS,Mismatch,1,1,0,1,1,0
17019878402,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2811462,377421,0,train,random,100,SUCCESS,Match,0,0,0,0,0,0
17019937902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1228377,135027,1825479,train,random,100,SUCCESS,Mismatch,19,0,19,19,0,19
17019935202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2161917,1026966,0,train,random,100,SUCCESS,Mismatch,9,6,0,9,6,0
17024674002,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2579328,82812,526743,train,random,100,SUCCESS,Mismatch,4,3,1,4,3,1
17022848302,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,847932,2340951,0,train,random,100,SUCCESS,Mismatch,11,11,0,11,11,0
17024717802,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,1849545,1339338,0,train,random,100,SUCCESS,Mismatch,13,8,0,13,8,0
17025816302,ATL,SEAVIEW_ATL,14,1,1031,1031,1031,1031,1546905,1641978,0,train,random,100,SUCCESS,Mismatch,9,5,0,9,5,0
17034030202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2205042,983841,0,test,random,50,SUCCESS,Mismatch,4,3,0,8,6,0
17034030302,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2887830,301053,0,test,random,50,SUCCESS,Mismatch,5,0,0,10,0,0
17034030602,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2632986,555897,0,test,random,50,SUCCESS,Mismatch,10,4,0,20,8,0
17034030702,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2481996,706887,0,test,random,50,SUCCESS,Mismatch,6,1,0,12,2,0
17034030902,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2705577,483306,0,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17034031202,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1394931,138489,1655463,test,random,50,SUCCESS,Mismatch,6,0,5,12,0,10
17034031402,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2033661,1155222,0,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17034031302,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2350812,184941,653130,test,random,50,SUCCESS,Mismatch,7,0,4,14,0,8
17034032002,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1764507,365532,1058844,test,random,50,SUCCESS,Mismatch,6,1,2,12,2,4
17034031602,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2116962,681012,390909,test,random,50,SUCCESS,Mismatch,11,5,2,22,10,4
17034032402,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2264103,924780,0,test,random,50,SUCCESS,Mismatch,10,8,0,20,16,0
17034032502,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,1348335,1840548,0,test,random,50,SUCCESS,Mismatch,8,8,0,16,16,0
17034032602,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2859696,219327,109860,test,random,50,SUCCESS,Mismatch,9,0,2,18,0,4
17034033002,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2633718,496248,58917,test,random,50,SUCCESS,Mismatch,4,1,0,8,2,0
17034032902,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2792451,264423,132009,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17037005102,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2955357,194544,38982,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17037005202,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,2911020,116631,161232,test,random,50,SUCCESS,Mismatch,2,1,1,4,2,2
17037005402,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2877279,187407,124197,test,random,50,SUCCESS,Mismatch,2,2,0,4,4,0
17037005602,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2650200,517428,21255,test,random,50,SUCCESS,Mismatch,5,2,0,10,4,0
17037005702,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2648346,341688,198849,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17037005502,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,3109836,79047,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17037005802,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2484723,678537,25623,test,random,50,SUCCESS,Mismatch,4,3,0,8,6,0
17037006002,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2442522,668853,77508,test,random,50,SUCCESS,Mismatch,9,1,0,18,2,0
17037006102,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,1981695,80091,1127097,test,random,50,SUCCESS,Mismatch,4,1,1,8,2,2
17037006302,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2596536,35832,556515,test,random,50,SUCCESS,Mismatch,2,0,1,4,0,2
17037006202,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2395617,199905,593361,test,random,50,SUCCESS,Mismatch,1,1,0,2,2,0
17037006502,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2902173,277140,9570,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17037006602,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2750829,405282,32772,test,random,50,SUCCESS,Mismatch,4,2,0,8,4,0
17037006802,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2957979,230904,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17037006702,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2909430,279453,0,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17037007202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2142945,1045938,0,test,random,50,SUCCESS,Mismatch,12,9,0,24,18,0
17037007402,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2057187,1035417,96279,test,random,50,SUCCESS,Mismatch,5,2,3,10,4,6
17037007702,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2921814,189906,77163,test,random,50,SUCCESS,Match,0,0,0,0,0,0
17037007802,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,2389404,340041,459438,test,random,50,SUCCESS,Mismatch,7,3,4,14,6,8
17037023502,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,1832082,496035,860766,train,random,100,SUCCESS,Mismatch,27,1,25,27,1,25
17039196602,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,1730631,1053594,404658,train,random,100,SUCCESS,Mismatch,8,3,4,8,3,4
17039236602,ATL,SEAVIEW_ATL,8,1,1031,1031,1031,1031,1921329,1267554,0,test,random,50,SUCCESS,Mismatch,6,5,0,12,10,0
17039236902,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,1127895,451683,1609305,test,random,50,SUCCESS,Mismatch,13,1,10,26,2,20
17039237002,ATL,SEAVIEW_ATL,8,1,1031,1031,1031,1031,1976238,1020639,192006,test,random,50,SUCCESS,Mismatch,9,5,2,18,10,4
17039236802,ATL,SEAVIEW_ATL,6,1,1031,1031,1031,1031,2457522,456459,274902,test,random,50,SUCCESS,Mismatch,3,1,0,6,2,0
17039237402,ATL,SEAVIEW_ATL,18,1,1031,1031,1031,1031,1734798,1454085,0,test,random,50,SUCCESS,Mismatch,7,6,0,14,12,0
17039237202,ATL,SEAVIEW_ATL,7,1,1031,1031,1031,1031,1495854,1623303,69726,test,random,50,SUCCESS,Mismatch,9,6,0,18,12,0
17039237102,ATL,SEAVIEW_ATL,4,1,1031,1031,1031,1031,2362005,826878,0,test,random,50,SUCCESS,Mismatch,4,2,0,8,4,0
17039237702,ATL,SEAVIEW_ATL,9,1,1031,1031,1031,1031,2389437,718632,80814,test,random,50,SUCCESS,Mismatch,8,3,2,16,6,4
17039237902,ATL,SEAVIEW_ATL,3,1,1031,1031,1031,1031,1810233,1351482,27168,test,random,50,SUCCESS,Mismatch,10,6,0,20,12,0
17039238102,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,947400,2045796,195687,test,random,50,SUCCESS,Mismatch,9,5,3,18,10,6
17039238402,ATL,SEAVIEW_ATL,15,1,1031,1031,1031,1031,1754034,402717,1032132,test,random,50,SUCCESS,Mismatch,4,1,1,8,2,2
